Year,DonorCode,DonorName,AgencyName,CrsID,RecipientName,RegionName,FlowName,USD_Commitment,CurrencyCode,ShortDescription,ProjectTitle,BroadSector,Province,Latitude,Longitude,PurposeCode,PurposeName,SectorCode,SectorName,ExpectedStartDate,CompletionDate,LongDescription,Name_of_Donor,ProjectTitle_len,PurposeName_len,ShortDescription_len,LongDescription_len
2021,5,Germany,Federal Ministry for Economic Cooperation and Development,2021005351,Iraq,Middle East,ODA Grants,35.477767,302,ECONOMIC RECONSTRUCTION IOM,Economic reconstruction IOM,Education,Nineveh,36.33569,43.11804,11110,Education policy and administrative management,111,"I.1.a. Education, Level Unspecified",2021-07-01 00:00:00,2025-07-31 00:00:00,"In total, 8,100 people in need (5,670 men and 2,430 women) will be directly reached through the proposed measures and 21 smaller economic infrastructure measures will be implemented in Phase IV of this project.","Germany, Federal Ministry for Economic Cooperation and Development",27,46,27,210
2018,5,Germany,Federal Ministry for Economic Cooperation and Development,2018005461,Iraq,Middle East,ODA Grants,35.406586,302,"EDUCATION, CHILD PROTECTION, WASH, PSYCHOSOCIAL SUPPORT","Education, child protection, WASH, psychosocial support",IT,Nineveh,36.32414,43.1272,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2018-11-01 00:00:00,2021-07-31 00:00:00,"The objective of the project is to improve access and quality, public education, psychosocial and psychological support, public water supply and sanitation facilities.","Germany, Federal Ministry for Economic Cooperation and Development",55,58,55,167
2018,5,Germany,Federal Ministry for Economic Cooperation and Development,2018005466,Iraq,Middle East,ODA Grants,35.406586,302,FUNDING FACILITY FOR EXPANDED STABILIZATION,Funding Facility for Expanded Stabilization,IT,Nineveh,36.27204,43.23211,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2018-12-31 00:00:00,2020-06-30 00:00:00,"The 2018 Germany-funded project under the UNDP’s Funding Facility for Expanded Stabilization (FFES) aimed to support the Iraqi government's capacity for stabilization and reconstruction in areas liberated from ISIL. The initiative focused on rehabilitating critical infrastructure, restoring essential services, and strengthening local governance to facilitate the safe return of internally displaced persons (IDPs) and promote long-term stability. By enhancing the Iraqi government's ability to act effectively, the project sought to lay the groundwork for sustainable development and peace in post-conflict regions.","Germany, Federal Ministry for Economic Cooperation and Development",43,58,43,121
2018,5,Germany,Federal Ministry for Economic Cooperation and Development,2018005464,Iraq,Middle East,ODA Grants,35.406586,302,IMPROVEMENT OF THE GENERAL CONDITIONS FOR THE PERMANENT RETURN OF DISPLACED PEOPLE TO THE NINEWA PLAINS - PHASE 1,Improvement of the general conditions for the permanent return of displaced people to the Ninewa plains - Phase 1,IT,Nineveh,36.35155,43.28222,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2018-10-15 00:00:00,2020-12-31 00:00:00,"An increased return and reintegration of the fugitive population of the Ninewa plain into their former residential areas. War-damaged houses of displaced persons are repaired in such a way that a dignified return is made possible. Community spaces/areas accessible to various ethnic-religious groups, e.g. parks, playgrounds, sports fields, kindergartens, schools and multipurpose halls, are being rehabilitated. Smaller water and electricity infrastructures will be repaired, especially on the rehabilitated communal areas. Activities to promote peace and social cohesion.","Germany, Federal Ministry for Economic Cooperation and Development",113,58,113,573
2018,302,United States,Agency for International Development,2018025970,Iraq,Middle East,ODA Grants,34.8,302,MACRO GRANT FY2018,Macro Grant FY2018,Public Administration,Nineveh,36.33006,43.14592,72050,Relief co-ordination and support services,720,VIII.1. Emergency Response,2018-01-01 00:00:00,2018-12-31 00:00:00,"The Macro Grant FY2018, funded by the U.S. Agency for International Development (USAID) through the Bureau for Humanitarian Assistance (BHA), provided humanitarian support to the Food and Agriculture Organization (FAO) for activities in Iraq. While specific project locations are not publicly disclosed, such grants typically support agricultural recovery and resilience in areas affected by conflict. Given the nature of FAO's work in Iraq, a significant implementation site is likely the Ninewa Governorate, particularly around Mosul, where agricultural rehabilitation efforts have been concentrated.","United States, Agency for International Development",18,41,18,18
2013,302,United States,State Department,2013024002,Iraq,Middle East,ODA Grants,34.5,302,CONTRIBUTION TO UNITED NATIONS HIGH COMMISSIONER FOR REFUGEES (UNHCR) NEEDS DEFINED IN THE SYRIA REGIONAL RESPONSE PLAN 5 - IRAQ,Contribution To United Nations High Commissioner for Refugees (UNHCR) Needs Defined in The Syria Regional Response Plan 5 - Iraq,Public Administration,Duhok,36.83344,42.98332,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2013-01-01 00:00:00,2013-12-31 00:00:00,"The Domiz Refugee Camp in the Dohuk Governorate of the Kurdistan Region of Iraq was a primary implementation site for the Syria Regional Response Plan 5 (RRP5), funded by the United States through the Population, Migration, and Refugee Assistance appropriation. Established in April 2012, Domiz Camp has been a central location for Syrian refugees, particularly those of Kurdish origin, fleeing the Syrian civil war. The camp has received substantial support from UNHCR and various international partners to provide shelter, protection, and essential services to its residents.","United States, State Department",128,39,128,241
2019,918,EU Institutions,European Commission,2019000513,Iraq,Middle East,ODA Grants,34.406627,918,2019 SPECIAL MEASURE IN FAVOUR OF IRAQ - PART 2,2019 Special Measure in favour of Iraq - part 2,Industry,Baghdad,33.31869,44.39572,31120,Agricultural development,311,III.1.a. Agriculture,2020-04-08 00:00:00,2023-04-08 00:00:00,Support to Governance and Job creation in agriculture and agribusiness in Iraq,"EU Institutions, European Commission",47,24,47,78
2020,5,Germany,Federal Ministry for Economic Cooperation and Development,2020006286,Iraq,Middle East,ODA Grants,34.188034,302,UNDP IRAQ - BUILDING RESILIENCE BY CREATING JOBS IN AFFECTED CRISIS AREAS IN IRAQ,UNDP Iraq - Building resilience by creating jobs in affected crisis areas in Iraq,Infrastructure,Nineveh,36.34178,43.23284,16020,Employment creation,160,I.6. Other Social Infrastructure & Services,2020-11-01 00:00:00,2024-12-31 00:00:00,"The aim of the SI measure is to improve income security and the socio-economic inclusion of internally displaced persons, returnees and the receiving population in the target areas by creating short, medium and long-term income and employment opportunities.","Germany, Federal Ministry for Economic Cooperation and Development",81,19,81,257
2023,918,EU Institutions,European Commission,2023902977,Iraq,Middle East,ODA Grants,34.061419,918,EUROPEAN UNION ADVISORY MISSION IN IRAQ,EUROPEAN UNION ADVISORY MISSION IN IRAQ,IT,Baghdad,33.31637,44.38961,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2022-05-01 00:00:00,2024-04-30 00:00:00,"EUAM Iraq contributes to a safer and stronger Iraq, through its support, engagement and participation in an effective and sustainable Security Sector Reform Process (SSRP)","EU Institutions, European Commission",39,59,39,171
2017,5,Germany,Federal Foreign Office,2017007677,Iraq,Middle East,ODA Grants,33.818059,302,BUILDING THE CAPACITY OF THE GOVERNMENT,Building the capacity of the Government,IT,Anbar,33.41946,43.04072,15220,"Civilian peace-building, conflict prevention and resolution",152,"I.5.b. Conflict, Peace & Security",2017-10-31 00:00:00,2017-12-31 00:00:00,"The 2017 Germany-funded initiative under the UNDP’s Funding Facility for Immediate Stabilization (FFIS), specifically Window Three—Capacity Support, aimed to bolster the Iraqi government's ability to stabilize and govern areas liberated from ISIL. This component focused on providing technical assistance to local authorities, enhancing their planning, implementation, and monitoring capacities. By deploying technical experts and supporting institutional development, the project sought to ensure that local governments could effectively respond to stabilization needs and rebuild trust with affected communities","Germany, Federal Foreign Office",39,59,39,93
2021,918,EU Institutions,European Commission,2021900591,Iraq,Middle East,ODA Grants,33.703879,918,HUMANITARIAN IMPLEMENTATION PLAN IRAQ,HUMANITARIAN IMPLEMENTATION PLAN IRAQ,Public Administration,Anbar,33.22319,43.67929,72010,Material relief assistance and services,720,VIII.1. Emergency Response,2021-01-01 00:00:00,2022-12-31 00:00:00,"HUMANITARIAN IMPLEMENTATION PLAN IRAQ 2021, Funding Countries: IRAQ","EU Institutions, European Commission",37,39,37,67
2019,5,Germany,Federal Ministry for Economic Cooperation and Development,2019006740,Iraq,Middle East,ODA Grants,33.583343,302,"FUNDING FACILITY FOR EXPANDED STABILISATION (FFES), PHASE 3","Funding Facility for Expanded Stabilisation (FFES), Phase 3",Health,Erbil,35.67311,43.59109,12230,Basic health infrastructure,122,I.2.b. Basic Health,2019-12-03 00:00:00,2020-12-31 00:00:00,"Contribute to strengthening the Iraqi government's ability to act and perform in the area of stabilisation and reconstruction. In order to achieve this, the public infrastructure in Iraq should be repaired or rebuilt to such an extent that the basic needs of the local population can be guaranteed and the permanent return of internally displaced persons to their homes can be made possible.","Germany, Federal Ministry for Economic Cooperation and Development",59,27,59,391
2018,302,United States,State Department,2018007550,Iraq,Middle East,ODA Grants,33.57127,302,"DEMOCRACY, HUMAN RIGHTS AND LABOR PROGRAM - UNSPECIFIED PROJECT","Democracy, Human Rights and Labor Program - Unspecified Project",Public Administration,Baghdad,33.3158,44.39221,15150,Democratic participation and civil society,151,I.5.a. Government & Civil Society-general,2018-01-01 00:00:00,2018-12-31 00:00:00,"The Democracy, Human Rights, and Labor Program in Iraq, funded by the U.S. Department of State's Bureau of Democracy, Human Rights, and Labor (DRL), supports initiatives aimed at promoting democratic principles, human rights, and the rule of law. While specific project details are not publicly disclosed due to the sensitive nature of such programs, DRL has issued calls for proposals targeting various regions in Iraq, including Baghdad, Erbil, and Basrah. These programs often focus on empowering civil society organizations, enhancing political participation, and protecting the rights of vulnerable groups. ","United States, State Department",63,42,63,102
2016,5,Germany,Federal Ministry for Economic Cooperation and Development,2016005586,Iraq,Middle East,ODA Grants,33.174831,302,EDUCATION PROGRAMME (UNICEF),Education Programme (UNICEF),IT,Nineveh,36.32184,43.52911,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2016-01-01 00:00:00,2016-12-31 00:00:00,"The 2016 Germany-funded UNICEF education program in Iraq aimed to enhance access to both formal and informal education, as well as psychosocial support, for refugee children, internally displaced persons (IDPs), and host community children. Implemented nationwide, the initiative targeted approximately 385,000 children, focusing on providing temporary learning spaces, educational supplies, and teacher training to improve the quality of education in crisis-affected areas. The program also emphasized the importance of psychosocial support to help children cope with the trauma of displacement and conflict.","Germany, Federal Ministry for Economic Cooperation and Development",28,58,28,442
2016,5,Germany,Federal Ministry for Economic Cooperation and Development,2016005631,Iraq,Middle East,ODA Grants,33.174831,302,WATER SUPPLY / DISPOSAL SEWAGE FOR SYRIAN REFUGEES,Water supply / disposal sewage for Syrian refugees,IT,Duhok,36.75616,42.93991,73010,Immediate post-emergency reconstruction and rehabilitation,730,VIII.2. Reconstruction Relief & Rehabilitation,2016-05-10 00:00:00,2019-04-30 00:00:00,"The planned interventions subdivide to themselves into three spheres of activity (1) conversion of priority measures in the water supply and sanitary care, (2) installations of a new drinking water care system of the district Faida, and (3) strengthening of the capacities of partner organisations.","Germany, Federal Ministry for Economic Cooperation and Development",50,58,50,298
